time,PM2.5,PM10,CO2,temperature,humidity,pressure,CO_mVolts,temp_DHT
09:07:11,3.0,3.0,786.0,25.5,73.9000015258789,986.0,1175.0,26.5
09:07:12,3.0,3.0,786.0,25.5,73.9000015258789,986.0,1180.0,26.5
09:07:13,3.0,3.0,786.0,25.460416793823242,73.9000015258789,986.0,1178.0,26.5
09:07:15,3.0,3.0,785.0,25.472917556762695,73.9000015258789,986.0,1168.0,26.5
09:07:16,3.0,3.0,785.0,25.46875,73.9000015258789,986.0,1177.0,26.5
09:07:17,3.0,3.0,784.0,25.475000381469727,73.80000305175781,986.0,1134.0,26.5
09:07:18,3.0,3.0,783.0,25.47916603088379,73.80000305175781,986.0,1187.0,26.5
09:07:19,3.0,3.0,783.0,25.518749237060547,73.80000305175781,986.0,1187.0,26.5
09:07:20,3.0,3.0,783.0,25.518749237060547,73.80000305175781,986.0,1160.0,26.5
09:07:21,3.0,3.0,782.0,25.5,73.80000305175781,986.0,1195.0,26.5
09:07:22,3.0,3.0,782.0,25.52083396911621,73.69999694824219,986.0,1203.0,26.5
09:07:23,3.0,3.0,781.0,25.504167556762695,73.69999694824219,986.0,1203.0,26.5
09:07:24,3.0,3.0,778.0,25.504167556762695,73.69999694824219,986.0,1206.0,26.5
09:07:25,3.0,3.0,778.0,25.495832443237305,73.69999694824219,986.0,1207.0,26.5
09:07:26,2.0,2.0,776.0,25.5625,73.69999694824219,986.0,1185.0,26.5
09:07:27,2.0,2.0,776.0,25.53333282470703,73.5999984741211,986.0,1185.0,26.5
09:07:28,2.0,2.0,776.0,25.53333282470703,73.5999984741211,986.0,1201.0,26.5
09:07:29,2.0,2.0,775.0,25.556249618530273,73.5,986.0,1184.0,26.5
09:07:30,2.0,2.0,774.0,25.524999618530273,73.4000015258789,986.0,1193.0,26.5
09:07:31,2.0,2.0,774.0,25.556249618530273,73.4000015258789,986.0,1164.0,26.600000381469727
09:07:32,2.0,2.0,772.0,25.545833587646484,73.30000305175781,986.0,1157.0,26.600000381469727
09:07:33,2.0,2.0,772.0,25.539583206176758,73.19999694824219,986.0,1156.0,26.5
09:07:34,2.0,2.0,772.0,25.589582443237305,73.0999984741211,986.0,1156.0,26.5
09:07:35,2.0,2.0,769.0,25.589582443237305,73.0999984741211,986.0,1167.0,26.5
09:07:36,2.0,2.0,770.0,25.5625,73.0999984741211,986.0,1162.0,26.5
09:07:37,2.0,2.0,770.0,25.537500381469727,73.0,986.0,1180.0,26.5
09:07:38,2.0,2.0,769.0,25.56041717529297,73.0,986.0,1169.0,26.5
09:07:39,2.0,2.0,769.0,25.56458282470703,73.0,986.0,1176.0,26.5
09:07:40,2.0,2.0,768.0,25.566667556762695,72.9000015258789,986.0,1172.0,26.5
09:07:41,2.0,2.0,765.0,25.535417556762695,72.80000305175781,986.0,1204.0,26.600000381469727
09:07:42,2.0,2.0,765.0,25.581249237060547,72.69999694824219,986.0,1204.0,26.600000381469727
09:07:43,2.0,2.0,765.0,25.581249237060547,72.69999694824219,986.0,1216.0,26.600000381469727
09:07:45,2.0,2.0,763.0,25.610416412353516,72.4000015258789,986.0,1239.0,26.600000381469727
09:07:46,2.0,2.0,763.0,25.59375,71.9000015258789,986.0,1261.0,26.600000381469727
09:07:47,2.0,2.0,762.0,25.618749618530273,71.9000015258789,986.0,1247.0,26.600000381469727
09:07:48,2.0,2.0,757.0,25.537500381469727,70.5,986.0,1267.0,26.600000381469727
09:07:49,2.0,2.0,757.0,25.606250762939453,69.5999984741211,986.0,1271.0,26.600000381469727
09:07:50,2.0,2.0,753.0,25.620832443237305,68.69999694824219,986.0,1280.0,26.600000381469727
09:07:51,2.0,2.0,753.0,25.620832443237305,68.69999694824219,986.0,1280.0,26.600000381469727
09:07:52,2.0,2.0,753.0,25.60416603088379,67.5999984741211,986.0,1268.0,26.600000381469727
09:07:53,2.0,2.0,750.0,25.600000381469727,66.4000015258789,986.0,1302.0,26.600000381469727
09:07:54,2.0,2.0,745.0,25.602083206176758,65.19999694824219,986.0,1283.0,26.600000381469727
09:07:55,2.0,2.0,745.0,25.608333587646484,63.900001525878906,986.0,1287.0,26.600000381469727
09:07:56,2.0,2.0,739.0,25.620832443237305,62.70000076293945,986.0,1299.0,26.600000381469727
09:07:57,2.0,2.0,739.0,25.600000381469727,61.5,986.0,1282.0,26.600000381469727
09:07:58,2.0,2.0,739.0,25.600000381469727,61.5,986.0,1282.0,26.600000381469727
09:07:59,2.0,2.0,675.0,25.62291717529297,60.29999923706055,986.0,1286.0,26.600000381469727
09:08:00,2.0,2.0,640.0,25.600000381469727,59.099998474121094,986.0,1291.0,26.600000381469727
09:08:01,2.0,2.0,640.0,25.606250762939453,58.0,986.0,1286.0,26.600000381469727
09:08:02,1.0,1.0,596.0,25.587499618530273,56.79999923706055,986.0,1301.0,26.600000381469727
09:08:03,1.0,1.0,596.0,25.585416793823242,55.5,986.0,1292.0,26.600000381469727
09:08:04,1.0,1.0,553.0,25.633333206176758,54.29999923706055,986.0,1302.0,26.600000381469727
09:08:05,1.0,1.0,553.0,25.616666793823242,53.099998474121094,986.0,1302.0,26.600000381469727
09:08:06,1.0,1.0,520.0,25.616666793823242,53.099998474121094,986.0,1287.0,26.600000381469727
09:08:07,1.0,1.0,520.0,25.620832443237305,51.900001525878906,986.0,1297.0,26.600000381469727
09:08:08,1.0,1.0,490.0,25.629167556762695,50.70000076293945,986.0,1303.0,26.600000381469727
09:08:09,1.0,1.0,490.0,25.61458396911621,49.5,986.0,1290.0,26.600000381469727
